rcid,company,factset_entity_id,clean_company,Matched_Excel_Company_ID
568988,"Wolfspeed, Inc.",0010YB-E,wolfspeed inc,
88757,"C3.ai, Inc.",07W7MZ-E,c3ai inc,IQ24249083
127582,Luminex Corp.,002SFF-E,luminex corp,IQ411496
22142783,"Walmart, Inc.",000YMS-E,walmart inc,IQ313055
1263833,"Cerence, Inc.",0LCVZ7-E,cerence inc,IQ634127183
896391,"Digi International, Inc.",000HKB-E,digi international inc,IQ266694
288789,"Airgain, Inc.",007H7D-E,airgain inc,IQ10460385
1179262,"PowerFleet, Inc.",0L11RW-E,powerfleet inc,IQ238361
22264555,"Leslie's, Inc.",0MY33Y-E,leslies inc,IQ691092297
1489790,General Electric Co.,000KYG-E,general electric co,IQ177031
938330,Nucor Corp.,000RHT-E,nucor corp,IQ184945
1223555,NVIDIA Corp.,00208X-E,nvidia corp,IQ32307
1343514,QuickLogic Corp.,001PRG-E,quicklogic corp,IQ33535
100034,"Dolby Laboratories, Inc.",05MHNR-E,dolby laboratories inc,IQ1560395
65304,"Akebia Therapeutics, Inc.",06TNW4-E,akebia therapeutics inc,IQ36644983
811891,Aptiv Plc,00D7D5-E,aptiv plc,
406145,"Barnes & Noble Education, Inc.",0FCHZZ-E,barnes noble education inc,IQ286180590
739474,Polaris Inc.,000TJP-E,polaris inc,IQ297441
459137,"Sarepta Therapeutics, Inc.",001H2N-E,sarepta therapeutics inc,IQ362584
421461,"Allogene Therapeutics, Inc.",0JBQJ2-E,allogene therapeutics inc,IQ558022022
20930420,"Boot Barn Holdings, Inc.",00G5WJ-E,boot barn holdings inc,IQ266797777
315319,Columbus McKinnon Corp.,0018KH-E,columbus mckinnon corp,IQ346334
21007446,"American Airlines Group, Inc.",0D665Z-E,american airlines group inc,IQ168569
8084780,Trinseo Plc,0PGNXM-E,trinseo plc,
538792,"Quest Diagnostics, Inc.",001CGF-E,quest diagnostics inc,IQ361335
22224662,Elastic NV,0CV6B3-E,elastic nv,IQ224101504
711799,"AVITA Medical, Inc.",0MHZQ9-E,avita medical inc,IQ4481298
275866,"Eventbrite, Inc.",07QB1V-E,eventbrite inc,IQ45534830
1178236,Ensono LLC,0015GD-E,ensono,IQ348452
1177999,"WideOpenWest, Inc.",0D4PZD-E,wideopenwest inc,IQ369346816
517893,Perrigo Co. Plc,0D8QKN-E,perrigo co plc,IQ319092
904642,"Rent-A-Center, Inc.",00316P-E,rentacenter inc,IQ33765
20926630,"BlueLinx Holdings, Inc.",006BWV-E,bluelinx holdings inc,IQ10004802
22142030,"American International Group, Inc.",000BZV-E,american international group inc,IQ250388
5257,Creative Technology Ltd.,0011LN-E,creative technology ltd,IQ27167
102732,"Cutera, Inc.",003H81-E,cutera inc,IQ99457
1397161,"Proofpoint, Inc.",0053KS-E,proofpoint inc,IQ6330458
71241,"Zovio, Inc.",006GD4-E,zovio inc,IQ20609524
22148391,"Employers Holdings, Inc.",008R5Y-E,employers holdings inc,IQ30484431
813537,"MRC Global, Inc.",07C7NG-E,mrc global inc,IQ44459271
786030,Comcast Corp.,05LL2F-E,comcast corp,IQ173341
817854,"PDL BioPharma, Inc.",06C5B2-E,pdl biopharma inc,IQ321244
20952345,"Cinemark Holdings, Inc.",06KYVP-E,cinemark holdings inc,IQ32389646
1052785,"LeMaitre Vascular, Inc.",004G1T-E,lemaitre vascular inc,IQ2567538
882066,Quanex Building Products Corp.,009X9C-E,quanex building products corp,IQ40084670
248417,Kimberly-Clark Corp.,000NVS-E,kimberlyclark corp,IQ283857
383416,"Take-Two Interactive Software, Inc.",001Q09-E,taketwo interactive software inc,IQ371281
449435,U.S. Bancorp,001R78-E,us bancorp,IQ305304
22243082,"Avantor, Inc.",0GKBXK-E,avantor inc,IQ403055588
705146,"Supernus Pharmaceuticals, Inc.",06C8FT-E,supernus pharmaceuticals inc,IQ422832
929748,"Arlo Technologies, Inc.",0J04DL-E,arlo technologies inc,IQ571928689
1089316,"Cornerstone OnDemand, Inc.",003KH5-E,cornerstone ondemand inc,IQ520217
447852,"Daktronics, Inc.",001C9Z-E,daktronics inc,IQ330862
95046,"Sonoma Pharmaceuticals, Inc.",005TVW-E,sonoma pharmaceuticals inc,IQ8652169
22250515,Northwest Natural Holding Co.,0J62CK-E,northwest natural holding co,IQ292047
735474,"Frontdoor, Inc.",0JV65B-E,frontdoor inc,IQ576104379
22150786,"GoDaddy, Inc.",00G546-E,godaddy inc,IQ265777695
409938,TD SYNNEX Corp.,05M0BF-E,td synnex corp,
360822,"Seacor Marine Holdings, Inc.",0G7VWX-E,seacor marine holdings inc,IQ318154367
1474903,"DaVita, Inc.",0015RG-E,davita inc,IQ35644
642928,"Macy's, Inc.",000JHP-E,macys inc,IQ318091
